// SET VAR START END TABLE
SET_VAR_START_END_TABLE(0, 26'b00000000000000000000000000);
SET_CLAUSE_TABLE(39, 10'b0000001010);
SET_CLAUSE_TABLE(40, 10'b0000000100);
SET_CLAUSE_TABLE(41, 10'b0000001101);
SET_CLAUSE_TABLE(42, 10'b0000001111);
SET_CLAUSE_TABLE(43, 10'b0000010000);
SET_CLAUSE_TABLE(44, 10'b0000000100);
SET_CLAUSE_TABLE(45, 10'b0000010011);
SET_CLAUSE_TABLE(46, 10'b0000010101);
SET_CLAUSE_TABLE(47, 10'b0000010110);

// SET DECIDER
SET_DECIDER(0, 10'b0000000011);
SET_DECIDER(1, 10'b0000000101);
SET_DECIDER(2, 10'b0000000111);
SET_DECIDER(3, 10'b0000001001);
SET_DECIDER(4, 10'b0000001010);
SET_DECIDER(5, 10'b0000001100);
SET_DECIDER(6, 10'b0000001110);
SET_DECIDER(7, 10'b0000010001);
SET_DECIDER(8, 10'b0000010011);
SET_DECIDER(9, 10'b0000010100);
SET_DECIDER(10, 10'b0000010111);
SET_DECIDER(11, 10'b0000011000);

